id,sonde_event_id,Date,Time,Temp,SpCond,DO
,5,2003-10-12,11:18:00,13.69,262,9.22
,5,2003-10-12,11:22:00,13.71,262,9.23
,5,2003-10-12,11:26:00,13.73,263,9.16
,5,2003-10-12,11:30:00,13.75,263,9.17
,5,2003-10-12,11:34:00,13.77,264,9.19
,5,2003-10-12,11:38:00,13.79,264,9.16
,5,2003-10-12,11:42:00,13.8,264,9.13
,5,2003-10-12,11:46:00,13.83,265,9.13
,5,2003-10-12,11:50:00,13.84,265,9.12
,5,2003-10-12,11:54:00,13.88,265,9.15
,5,2003-10-12,11:58:00,13.9,265,9.15
,5,2003-10-12,12:02:00,13.91,266,9.17
,5,2003-10-12,12:06:00,13.92,266,9.16
,5,2003-10-12,12:10:00,13.93,266,9.1
,5,2003-10-12,12:14:00,13.95,266,9.11
,5,2003-10-12,12:18:00,13.97,266,9.03
,5,2003-10-12,12:22:00,13.98,267,9.1
,5,2003-10-12,12:26:00,14.0,267,9.07
,5,2003-10-12,12:30:00,14.01,267,9.09
,5,2003-10-12,12:34:00,14.04,267,9.06
,5,2003-10-12,12:38:00,14.07,267,9.09
,5,2003-10-12,12:42:00,14.11,267,9.04
,5,2003-10-12,12:46:00,14.12,267,9.06
,5,2003-10-12,12:50:00,14.14,267,9.08
,5,2003-10-12,12:54:00,14.16,268,9.07
,5,2003-10-12,12:58:00,14.19,268,9.07
,5,2003-10-12,13:02:00,14.21,268,9.04
,5,2003-10-12,13:06:00,14.23,268,9.06
,5,2003-10-12,13:10:00,14.23,268,8.99
,5,2003-10-12,13:14:00,14.24,268,8.99
,5,2003-10-12,13:18:00,14.27,268,8.96
,5,2003-10-12,13:22:00,14.29,268,8.94
,5,2003-10-12,13:26:00,14.3,268,8.93
,5,2003-10-12,13:30:00,14.31,268,8.88
,5,2003-10-12,13:34:00,14.32,269,8.79
,5,2003-10-12,13:38:00,14.37,269,8.75
,5,2003-10-12,13:42:00,14.4,269,8.88
,5,2003-10-12,13:46:00,14.44,269,8.87
,5,2003-10-12,13:50:00,14.49,269,8.89
,5,2003-10-12,13:54:00,14.47,269,8.89
,5,2003-10-12,13:58:00,14.48,269,8.93
,5,2003-10-12,14:02:00,14.49,269,8.9
,5,2003-10-12,14:06:00,14.51,269,8.9
,5,2003-10-12,14:10:00,14.51,269,8.91
,5,2003-10-12,14:14:00,14.53,269,8.96
,5,2003-10-12,14:18:00,14.56,270,8.93
,5,2003-10-12,14:22:00,14.6,269,8.89
,5,2003-10-12,14:26:00,14.65,269,8.91
,5,2003-10-12,14:30:00,14.66,270,8.88
,5,2003-10-12,14:34:00,14.68,269,8.88
,5,2003-10-12,14:38:00,14.71,270,8.91
,5,2003-10-12,14:42:00,14.72,270,8.97
,5,2003-10-12,14:46:00,14.75,270,9.0
,5,2003-10-12,14:50:00,14.77,270,8.95
,5,2003-10-12,14:54:00,14.77,270,8.89
,5,2003-10-12,14:58:00,14.77,270,8.91
,5,2003-10-12,15:02:00,14.77,270,8.91
,5,2003-10-12,15:06:00,14.78,270,8.89
,5,2003-10-12,15:10:00,14.77,271,8.88
,5,2003-10-12,15:14:00,14.77,271,8.88
,5,2003-10-12,15:18:00,14.78,271,8.89
,5,2003-10-12,15:22:00,14.8,271,8.86
,5,2003-10-12,15:26:00,14.81,271,8.89
,5,2003-10-12,15:30:00,14.82,271,8.89
,5,2003-10-12,15:34:00,14.84,271,8.87
,5,2003-10-12,15:38:00,14.86,271,8.86
,5,2003-10-12,15:42:00,14.87,271,8.85
,5,2003-10-12,15:46:00,14.88,271,8.84
,5,2003-10-12,15:50:00,14.9,271,8.85
,5,2003-10-12,15:54:00,14.9,271,8.82
,5,2003-10-12,15:58:00,14.92,270,8.8
,5,2003-10-12,16:02:00,14.93,269,8.88
,5,2003-10-12,16:06:00,14.93,269,8.77
,5,2003-10-12,16:10:00,14.94,268,8.77
,5,2003-10-12,16:14:00,14.95,267,8.69
,5,2003-10-12,16:18:00,14.95,267,8.73
,5,2003-10-12,16:22:00,14.95,266,8.73
,5,2003-10-12,16:26:00,14.96,266,8.65
,5,2003-10-12,16:30:00,14.96,265,8.73
,5,2003-10-12,16:34:00,14.97,265,8.74
,5,2003-10-12,16:38:00,14.97,265,8.65
,5,2003-10-12,16:42:00,14.98,264,8.64
,5,2003-10-12,16:46:00,14.99,264,8.51
,5,2003-10-12,16:50:00,15.0,264,8.81
,5,2003-10-12,16:54:00,15.01,264,8.8
,5,2003-10-12,16:58:00,15.02,264,8.79
,5,2003-10-12,17:02:00,15.02,264,8.79
,5,2003-10-12,17:06:00,15.03,263,8.81
,5,2003-10-12,17:10:00,15.03,263,8.79
,5,2003-10-12,17:14:00,15.04,263,8.78
,5,2003-10-12,17:18:00,15.04,263,8.79
,5,2003-10-12,17:22:00,15.04,263,8.78
,5,2003-10-12,17:26:00,15.05,263,8.78
,5,2003-10-12,17:30:00,15.05,263,8.78
,5,2003-10-12,17:34:00,15.05,263,8.73
,5,2003-10-12,17:38:00,15.05,263,8.76
,5,2003-10-12,17:42:00,15.05,262,8.7
,5,2003-10-12,17:46:00,15.06,262,8.71
,5,2003-10-12,17:50:00,15.06,262,8.72
,5,2003-10-12,17:54:00,15.06,262,8.68
,5,2003-10-12,17:58:00,15.06,262,8.71
,5,2003-10-12,18:02:00,15.06,262,8.74
,5,2003-10-12,18:06:00,15.06,262,8.72
,5,2003-10-12,18:10:00,15.06,262,8.54
,5,2003-10-12,18:14:00,15.06,262,8.62
,5,2003-10-12,18:18:00,15.06,262,8.72
,5,2003-10-12,18:22:00,15.06,262,8.7
,5,2003-10-12,18:26:00,15.06,262,8.67
